date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:18	25039/25039	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2019:30:00%20GMT	https://www.google.com/gmail/about/policy/	E:/adidasHackathon/login/www.google.com/gmail/about/policy/index.html	(from https://www.google.com/gmail/about/)
15:24:19	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Jan%202020%2007:47:13%20GMT	http://www.google.com/gmail/about/static/images/social.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/static/images/social.10.delayed	(from https://www.google.com/gmail/about/policy/)
15:24:19	25717/25717	---MC-	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202017%2018:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-animate.min.js	E:/adidasHackathon/login/ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-animate.min.js	(from https://www.google.com/gmail/about/)
15:24:19	1597/1597	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202020%2008:21:04%20GMT	https://www.google.com/gmail/about/static/images/social.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/static/images/social.11.delayed	(from https://www.google.com/gmail/about/policy/)
15:24:22	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/favicon.ico	E:/adidasHackathon/login/www.google.com/gmail/about/images/favicon.ico	(from https://www.google.com/gmail/about/policy/)
15:24:25	36974/36974	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2020:30:00%20GMT	https://www.google.com/gmail/about/static/css/main.min.css	E:/adidasHackathon/login/www.google.com/gmail/about/static/css/main.min.css	(from https://www.google.com/gmail/about/policy/)
15:24:29	34237/34237	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/bettercompose.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/bettercompose.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:34	168828/168828	---MC-	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202017%2018:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular.min.js	E:/adidasHackathon/login/ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular.min.js	(from https://www.google.com/gmail/about/)
15:24:34	94620/94620	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/bettercompose_2x.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/bettercompose_2x.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:34	187095/187095	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/images/home-hero_2x.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/images/home-hero_2x.jpg	(from https://www.google.com/gmail/about/policy/)
15:24:35	311800/311800	---M--	200	added ('OK')	text/javascript	date:Wed,%2003%20Jul%202019%2006:30:00%20GMT	https://www.google.com/gmail/about/static/js/index.min.js?cache=fae0f1b	E:/adidasHackathon/login/www.google.com/gmail/about/static/js/index.min9b71.js	(from https://www.google.com/gmail/about/)
